NumberPlate,Date,Time
IDL7CD5017,2025-07-30,15:21:24
IDL7D5017,2025-07-30,15:21:24
J7D5017,2025-07-30,15:21:25
JL7D5017,2025-07-30,15:21:25
DL7CD5017,2025-07-30,15:21:25
J705017,2025-07-30,15:21:26
E0L705017,2025-07-30,15:21:27
DL3CBU1384,2025-07-30,15:21:30
TIDL3CBJ1384,2025-07-30,15:21:30
TOL3CB1384,2025-07-30,15:21:30
TDL3CB1384,2025-07-30,15:21:31
DL2CAT4762,2025-07-30,15:21:33
OL2CAT762,2025-07-30,15:21:35
HR26CO6869,2025-07-30,15:21:39
THR26CO6869,2025-07-30,15:21:39
THR26C06869,2025-07-30,15:21:40
HR26C06869,2025-07-30,15:21:41
HR26CO686,2025-07-30,15:21:45
